Title;Picture;AuthName;Synopsis;Price
The Catcher in the Rye;src\\bookCovers\\theCatcherInTheRye.jpeg;J.D. Salinger;The story of a teenager's alienation and disillusionment;15.99
To Kill a Mockingbird;src\\bookCovers\\toKillAMokingBird.jpg;Harper Lee;A story of racial injustice and moral growth in the American South;12.49
1984;src\\bookCovers\\1984.jpg;George Orwell;A dystopian novel set in a totalitarian society;10.99
Pride and Prejudice;src\\bookCovers\\PrideandPrejudice.jpg;Jane Austen;A classic novel depicting the societal norms of early 19th-century England;9.99
The Great Gatsby;src\\bookCovers\\theGreatGatsby.jpeg;F. Scott Fitzgerald;A tale of wealth, love, and the American Dream;14.75
The Hobbit;src\\bookCovers\\The-Hobbit.jpg;J.R.R. Tolkien;A fantasy novel about a hobbit's quest to reclaim treasure guarded by a dragon;11.25
Harry Potter and the Sorcerer's Stone;src\\bookCovers\\Harry Potter and the Sorcerer's Stone.jpg;J.K. Rowling;The story of a young wizard's first year at Hogwarts School of Witchcraft and Wizardry;13.99
Frankenstein;src\\bookCovers\\Frankenstein.jpeg;Mary Shelley;A novel exploring the consequences of scientific exploration and the pursuit of knowledge;9.75
The Lord of the Rings;src\\bookCovers\\The Lord of the Rings.jpg;J.R.R. Tolkien;An epic high-fantasy trilogy about the quest to destroy a powerful ring;25.00
Brave New World;src\\bookCovers\\Brave New World.jpg;Aldous Huxley;A dystopian novel depicting a future society controlled by technology and social conditioning;10.50
The Da Vinci Code;src\\bookCovers\\The Da Vinci Code_.jpg;Dan Brown;A mystery thriller involving a symbologist's quest to solve a murder and unravel a secret society;8.99
Jane Eyre;src\\bookCovers\\Jane Eyre.jpeg;Charlotte BrontÃ«;A bildungsroman following the life of an orphaned girl, Jane Eyre;11.49
